family,entity_types,taxflow_routes,backend_endpoints,d1_tables,r2_artifacts,orchestration,ats_coverage,direct_file_coverage,status,notes,last_audited
auth_and_sessions,taxpayer,/session-dashboard|/interview|/taxpayer-profile,POST /app/v1/auth/dev-login|GET /app/v1/auth/callback|GET /app/v1/auth/me|POST /app/v1/auth/logout|POST /app/v1/filing-sessions|GET /app/v1/filing-sessions/:sessionId|PATCH /app/v1/filing-sessions/:sessionId,users|filing_sessions,filing-sessions/<id>/snapshot.json,cookie auth + filing session bootstrap,runtime e2e,adapter_indirect,implemented_tested,Authenticated TaxFlow session bootstrap is working locally with worker runtime coverage.,2026-03-13
taxpayer_identity,taxpayer,/taxpayer-profile|/residency|/your-taxes,POST /app/v1/filing-sessions|GET /app/v1/filing-sessions/:sessionId|PATCH /app/v1/filing-sessions/:sessionId|GET /app/v1/filing-sessions/:sessionId/entities|PUT /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|DELETE /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|POST /app/v1/filing-sessions/:sessionId/returns/sync,filing_sessions|review_findings|tax_returns,filing-sessions/<id>/snapshot.json|returns/<id>/facts.json,session sync -> facts -> review findings,S1|S2|S3|S4|S5|NR1|NR2|NR3|NR4|NR5|NR12,yes,implemented_tested,"Core identity, address, filing-status sync, checklist, review, sign, and submit are backend-backed.",2026-03-13
spouse_household,spouse,/spouse,POST /app/v1/filing-sessions|GET /app/v1/filing-sessions/:sessionId|PATCH /app/v1/filing-sessions/:sessionId|GET /app/v1/filing-sessions/:sessionId/entities|PUT /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|DELETE /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|POST /app/v1/filing-sessions/:sessionId/returns/sync,filing_sessions|session_entities,filing-sessions/<id>/snapshot.json|filing-sessions/<id>/entities/spouse/<id>.json,generic entity persistence only,S2|S4|S5|S33,partial,implemented_stubbed,"Stored and recoverable, but spouse-specific fact mapping and validation are still thin.",2026-03-13
dependents_and_household,dependent,/household,POST /app/v1/filing-sessions|GET /app/v1/filing-sessions/:sessionId|PATCH /app/v1/filing-sessions/:sessionId|GET /app/v1/filing-sessions/:sessionId/entities|PUT /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|DELETE /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|POST /app/v1/filing-sessions/:sessionId/returns/sync,filing_sessions|session_entities|review_findings,filing-sessions/<id>/entities/dependent/<id>.json,generic entity persistence only,S2|S4|S5|S13|S17,partial,implemented_stubbed,"Collection storage exists, but dependent credit/conflict rules are not yet derived from backend entities.",2026-03-13
w2_wages,w2,/income|/w2,POST /app/v1/filing-sessions|GET /app/v1/filing-sessions/:sessionId|PATCH /app/v1/filing-sessions/:sessionId|GET /app/v1/filing-sessions/:sessionId/entities|PUT /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|DELETE /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|POST /app/v1/filing-sessions/:sessionId/returns/sync,filing_sessions|session_entities|tax_returns,filing-sessions/<id>/snapshot.json|filing-sessions/<id>/entities/w2/<id>.json,session sync with coarse fact derivation,S1|S2|S11|S12,yes,implemented_stubbed,"TaxFlow route state syncs, but W-2 box-level amounts are not yet deterministically mapped into backend facts.",2026-03-13
forms_1099,1099_int|1099_div|1099_misc|1099_r|1099_b|1099_nec|1099_k|1099_g|1099_ssa,/income|/1099,POST /app/v1/filing-sessions|GET /app/v1/filing-sessions/:sessionId|PATCH /app/v1/filing-sessions/:sessionId|GET /app/v1/filing-sessions/:sessionId/entities|PUT /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|DELETE /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|POST /app/v1/filing-sessions/:sessionId/returns/sync,filing_sessions|session_entities,filing-sessions/<id>/entities/1099_*/<id>.json,generic entity persistence only,S8|S9|S10|S14|S16|S23|S24|S30|S31,partial,implemented_stubbed,"Entity CRUD exists, but backend facts/review logic does not yet unpack 1099 forms into tax-return payloads.",2026-03-13
investments_and_crypto,tax_lot|crypto_account|1099_b,/investments|/tax-lots|/crypto,POST /app/v1/filing-sessions|GET /app/v1/filing-sessions/:sessionId|PATCH /app/v1/filing-sessions/:sessionId|GET /app/v1/filing-sessions/:sessionId/entities|PUT /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|DELETE /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|POST /app/v1/filing-sessions/:sessionId/returns/sync,filing_sessions|session_entities,filing-sessions/<id>/entities/tax_lot/<id>.json|filing-sessions/<id>/entities/crypto_account/<id>.json,generic entity persistence only,S10|S11|S12|S27|S32,partial,implemented_stubbed,"Advanced investment UX exists in TaxFlow, but backend integration stops at persisted screen/entity data.",2026-03-13
business_and_k1,schedule_c|k1_entity,/business-k1|/business-entity|/qbi-worksheet|/basis-tracking,POST /app/v1/filing-sessions|GET /app/v1/filing-sessions/:sessionId|PATCH /app/v1/filing-sessions/:sessionId|GET /app/v1/filing-sessions/:sessionId/entities|PUT /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|DELETE /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|POST /app/v1/filing-sessions/:sessionId/returns/sync,filing_sessions|session_entities,filing-sessions/<id>/entities/schedule_c/<id>.json|filing-sessions/<id>/entities/k1_entity/<id>.json,generic entity persistence only,S6|S28|S29|S34|S36,partial,implemented_stubbed,"UI and persistence exist, but QBI, basis, and K-1 facts are not yet mapped into the backend return model.",2026-03-13
rental_property,rental_property,/rental,POST /app/v1/filing-sessions|GET /app/v1/filing-sessions/:sessionId|PATCH /app/v1/filing-sessions/:sessionId|GET /app/v1/filing-sessions/:sessionId/entities|PUT /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|DELETE /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|POST /app/v1/filing-sessions/:sessionId/returns/sync,filing_sessions|session_entities,filing-sessions/<id>/entities/rental_property/<id>.json,generic entity persistence only,S7,partial,implemented_stubbed,"Rental properties are persisted, but Schedule E fact derivation and review are still backend gaps.",2026-03-13
retirement_and_hsa,hsa_account|ira_distribution,/hsa|/ira-retirement,POST /app/v1/filing-sessions|GET /app/v1/filing-sessions/:sessionId|PATCH /app/v1/filing-sessions/:sessionId|GET /app/v1/filing-sessions/:sessionId/entities|PUT /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|DELETE /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|POST /app/v1/filing-sessions/:sessionId/returns/sync,filing_sessions|session_entities,filing-sessions/<id>/entities/hsa_account/<id>.json|filing-sessions/<id>/entities/ira_distribution/<id>.json,generic entity persistence only,S15|S23,partial,implemented_stubbed,"Persisted and restorable, but backend computation hooks for HSA and retirement distributions are still shallow.",2026-03-13
unemployment_and_social_security,unemployment_record|ssa_record,/unemployment-ss,POST /app/v1/filing-sessions|GET /app/v1/filing-sessions/:sessionId|PATCH /app/v1/filing-sessions/:sessionId|GET /app/v1/filing-sessions/:sessionId/entities|PUT /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|DELETE /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|POST /app/v1/filing-sessions/:sessionId/returns/sync,filing_sessions|session_entities,filing-sessions/<id>/entities/unemployment_record/<id>.json|filing-sessions/<id>/entities/ssa_record/<id>.json,generic entity persistence only,S24|S30,partial,implemented_stubbed,"Backend has generic storage, but no dedicated facts mapper for these income families yet.",2026-03-13
foreign_income_and_nonresident,foreign_income_record|foreign_account|treaty_claim,/foreign-income|/international|/nonresident|/intl-advanced,POST /app/v1/filing-sessions|GET /app/v1/filing-sessions/:sessionId|PATCH /app/v1/filing-sessions/:sessionId|GET /app/v1/filing-sessions/:sessionId/entities|PUT /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|DELETE /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|POST /app/v1/filing-sessions/:sessionId/returns/sync,filing_sessions|session_entities,filing-sessions/<id>/entities/foreign_income_record/<id>.json|filing-sessions/<id>/entities/foreign_account/<id>.json|filing-sessions/<id>/entities/treaty_claim/<id>.json,generic entity persistence only,S18|S19|S20|NR1|NR2|NR3|NR4|NR5|NR12,yes,implemented_stubbed,"Direct File compatibility exists for many NR scenarios, but TaxFlow-to-backend entity mapping is not complete.",2026-03-13
credits_and_supporting_entities,education_student|care_provider|care_qualifying_person|clean_vehicle_credit|home_energy_credit|adoption_record,/education-care|/credits|/credits-hub,POST /app/v1/filing-sessions|GET /app/v1/filing-sessions/:sessionId|PATCH /app/v1/filing-sessions/:sessionId|GET /app/v1/filing-sessions/:sessionId/entities|PUT /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|DELETE /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|POST /app/v1/filing-sessions/:sessionId/returns/sync,filing_sessions|session_entities|review_findings,filing-sessions/<id>/entities/education_student/<id>.json|filing-sessions/<id>/entities/care_provider/<id>.json|filing-sessions/<id>/entities/clean_vehicle_credit/<id>.json,generic entity persistence only,S2|S13|S14|S17|S21|S22|S26|S27|S32,partial,implemented_stubbed,"Credit entity loops are strong in UI, but backend review and return payloads do not yet derive credit math from them.",2026-03-13
state_and_local_tax,local_tax_obligation,/state-tax|/local-tax,POST /app/v1/filing-sessions|GET /app/v1/filing-sessions/:sessionId|PATCH /app/v1/filing-sessions/:sessionId|GET /app/v1/filing-sessions/:sessionId/entities|PUT /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|DELETE /app/v1/filing-sessions/:sessionId/entities/:entityType/:entityId|POST /app/v1/filing-sessions/:sessionId/returns/sync|GET /app/v1/filing-sessions/:sessionId/state-transfer|POST /app/v1/filing-sessions/:sessionId/state-transfer/authorize|GET /df/file/api/v1/state-api/state-profile|GET /df/file/api/v1/state-api/state-exported-facts/:submissionId,filing_sessions|session_entities|state_transfer_authorizations,filing-sessions/<id>/state-transfer/<authorizationCode>.json,state profile lookup + export authorization,S27|NR4,yes,implemented_stubbed,"State transfer is wired, but state/local line-item facts are not yet derived from TaxFlow entities.",2026-03-13
checklist_and_review,,/checklist|/review-confirm,GET /app/v1/filing-sessions/:sessionId/checklist|GET /app/v1/filing-sessions/:sessionId/review,filing_sessions|review_findings,filing-sessions/<id>/snapshot.json,backend-derived review findings + checklist aggregation,runtime e2e,adapter_indirect,implemented_tested,Checklist and review now come from backend routes instead of static frontend fixtures on the core path.,2026-03-13
document_intake,,/documents|/dump|/extraction-review,POST /app/v1/filing-sessions/:sessionId/documents|GET /app/v1/filing-sessions/:sessionId/documents/:documentId|PATCH /app/v1/filing-sessions/:sessionId/documents/:documentId,documents,filing-sessions/<id>/documents/<id>/metadata.json|filing-sessions/<id>/documents/<id>/content.json,metadata upload + provenance-lite status tracking,n/a,no,implemented_tested,"TaxFlow upload flows now persist document metadata to the worker backend, but OCR/classification is still adapter-backed.",2026-03-13
efile_submission,submission|bank_account,/efile-wizard|/efile-status-v2|/confirmation,POST /app/v1/filing-sessions/:sessionId/sign|POST /app/v1/filing-sessions/:sessionId/submit|GET /app/v1/filing-sessions/:sessionId/submission|POST /api/v1/internal/process/:submissionId|GET /api/v1/submissions/:submissionId|GET /api/v1/submissions/:submissionId/ack,filing_sessions|tax_returns|submissions|submission_events,filing-sessions/<id>/signature/<timestamp>.json|submissions/<id>/ack.json,sign -> submit -> queue/internal process -> ack/status,runtime e2e|scenario1.reject-missing-tin,yes,implemented_tested,Core TaxFlow e-file submission path is backend-backed and worker-tested end-to-end.,2026-03-13
